"","trial_type","do_switch","resp_type","keyTrial.rt","trial_num","block_num","correct","ExactAge","FlooredAge","AgeGroup","participant"
"244","low_switch",1,"correct",0.7882,4,1,1,14.7506849315069,14,"Adolescents",3
"245","low_switch",1,"correct",1.1085,5,1,1,14.7506849315069,14,"Adolescents",3
"246","low_switch",0,"correct",0.8548,6,1,1,14.7506849315069,14,"Adolescents",3
"247","low_switch",0,"correct",1.0455,7,1,1,14.7506849315069,14,"Adolescents",3
"248","low_switch",1,"correct",0.854,8,1,1,14.7506849315069,14,"Adolescents",3
"249","low_switch",0,"correct",0.8696,9,1,1,14.7506849315069,14,"Adolescents",3
"250","low_switch",0,"correct",0.866,10,1,1,14.7506849315069,14,"Adolescents",3
"251","low_switch",0,"correct",0.7201,11,1,1,14.7506849315069,14,"Adolescents",3
"252","low_switch",0,"correct",0.9732,12,1,1,14.7506849315069,14,"Adolescents",3
"253","low_switch",0,"correct",0.6522,13,1,1,14.7506849315069,14,"Adolescents",3
"254","low_switch",0,"correct",0.6654,14,1,1,14.7506849315069,14,"Adolescents",3
"255","low_switch",0,"correct",0.6802,15,1,1,14.7506849315069,14,"Adolescents",3
"256","low_switch",0,"correct",0.6048,16,1,1,14.7506849315069,14,"Adolescents",3
"257","low_switch",0,"correct",0.5887,17,1,1,14.7506849315069,14,"Adolescents",3
"258","low_switch",0,"correct",0.664,18,1,1,14.7506849315069,14,"Adolescents",3
"259","low_switch",0,"correct",0.7039,19,1,1,14.7506849315069,14,"Adolescents",3
"260","low_switch",0,"correct",0.5616,20,1,1,14.7506849315069,14,"Adolescents",3
"261","low_switch",0,"correct",0.6196,21,1,1,14.7506849315069,14,"Adolescents",3
"262","low_switch",0,"correct",0.637,22,1,1,14.7506849315069,14,"Adolescents",3
"263","low_switch",0,"correct",0.5656,23,1,1,14.7506849315069,14,"Adolescents",3
"264","low_switch",0,"correct",0.7189,24,1,1,14.7506849315069,14,"Adolescents",3
