"","Gender","ExactAge","Race","Ethnicity","FlooredAge","AgeGroup","participant"
"24961","Feminine",10.627397260274,"Not Captured by Options","Not Hispanic or Latino",10,"Children",255
"25201","Masculine",20.6712328767123,"White","Not Hispanic or Latino",20,"Adults",256
"25441","Masculine",19.0082191780822,"Not Captured by Options","Hispanic or Latino",19,"Adults",257
"25681","Masculine",19.4657534246575,"Black or African American","Not Hispanic or Latino",19,"Adults",258
"25921","Masculine",18.4,"Not Captured by Options","Hispanic or Latino",18,"Adults",259
"26161","Masculine",16.0493150684932,"White","Not Hispanic or Latino",16,"Adolescents",260
"26401","Masculine",18.0082191780822,"Not Captured by Options","Not Hispanic or Latino",18,"Adults",261
"26641","Feminine",20.6931506849315,"White","Not Hispanic or Latino",20,"Adults",262
"26881","Feminine",15.0493150684932,"White","Not Hispanic or Latino",15,"Adolescents",263
"27121","Masculine",12.9041095890411,"White","Not Hispanic or Latino",12,"Children",264
"27361","Masculine",14.1260273972603,"White","Not Hispanic or Latino",14,"Adolescents",265
"27601","Feminine",15.841095890411,"Not Captured by Options","Not Hispanic or Latino",15,"Adolescents",266
"27841","Masculine",15.7698630136986,"White","Not Hispanic or Latino",15,"Adolescents",267
"28081","Masculine",13.1205479452055,"White","Not Hispanic or Latino",13,"Adolescents",268
"28321","Feminine",11.2520547945205,"White","Not Hispanic or Latino",11,"Children",269
"28561","Feminine",13.5013698630137,"White","Not Hispanic or Latino",13,"Adolescents",270
"28801","Masculine",20.4931506849315,"White","Not Hispanic or Latino",20,"Adults",271
"29041","Feminine",18.3424657534247,"White","Not Hispanic or Latino",18,"Adults",272
"29281","Feminine",10.627397260274,"Not Captured by Options","Not Hispanic or Latino",10,"Children",273
"29521","Feminine",12.1397260273973,"White","Hispanic or Latino",12,"Children",274
"29761","Masculine",10.2876712328767,"White","Not Hispanic or Latino",10,"Children",275
"30001","Masculine",11.1041095890411,"White","Hispanic or Latino",11,"Children",276
"30241","Feminine",16.986301369863,"Not Captured by Options","Hispanic or Latino",16,"Adolescents",277
"30481","Masculine",20.7808219178082,"White","Not Hispanic or Latino",20,"Adults",278
"30721","Masculine",19.5342465753425,"Asian","Not Hispanic or Latino",19,"Adults",279
"30961","Feminine",20.9698630136986,"Asian","Not Hispanic or Latino",20,"Adults",280
"31201","Feminine",19.7972602739726,"White","Not Hispanic or Latino",19,"Adults",281
"31441","Feminine",15.7671232876712,"White","Not Hispanic or Latino",15,"Adolescents",282
"31681","Feminine",14.6465753424658,"Not Captured by Options","Hispanic or Latino",14,"Adolescents",283
"31921","Feminine",13.7397260273973,"White","Not Hispanic or Latino",13,"Adolescents",284
"32161","Masculine",12.5397260273973,"White","Not Hispanic or Latino",12,"Children",285
"32401","Masculine",13.3890410958904,"White","Not Hispanic or Latino",13,"Adolescents",286
"32641","Feminine",18.041095890411,"Asian","Not Hispanic or Latino",18,"Adults",287
"32881","Feminine",13.8602739726027,"White","Not Hispanic or Latino",13,"Adolescents",288
"33121","Feminine",11.8904109589041,"White","Not Hispanic or Latino",11,"Children",289
"33361","Masculine",10.186301369863,"White","Not Hispanic or Latino",10,"Children",290
"33601","Masculine",12.0191780821918,"White","Not Hispanic or Latino",12,"Children",291
"33841","Masculine",11.213698630137,"White","Not Hispanic or Latino",11,"Children",292
"34081","Masculine",11.1041095890411,"White","Not Hispanic or Latino",11,"Children",293
"34321","Feminine",16.8931506849315,"White","Not Hispanic or Latino",16,"Adolescents",294
"34561","Masculine",20.5643835616438,"White","Not Hispanic or Latino",20,"Adults",295
"34801","Masculine",19.7123287671233,"Asian","Hispanic or Latino",19,"Adults",296
"35041","Feminine",15.5150684931507,"White","Not Hispanic or Latino",15,"Adolescents",297
"35281","Masculine",15.586301369863,"Not Captured by Options","Not Hispanic or Latino",15,"Adolescents",298
"35521","Feminine",16.0739726027397,"White","Not Hispanic or Latino",16,"Adolescents",299
"35761","Feminine",16.6520547945205,"White","Not Hispanic or Latino",16,"Adolescents",300
